"series_id","method_id","timestamp","origin_timestamp","forecast","lo80","hi80","lo90","hi90","lo95","hi95","horizon"
"O1","ARIMA",97,96,4571.38896714172,4408.97476872778,4733.80316555566,4362.93260025643,4779.84533402701,FALSE,FALSE,1
"O1","ARIMA",98,96,4531.23562687241,4261.02403467474,4801.44721907008,4184.42280293286,4878.04845081196,FALSE,FALSE,2
"O1","ARIMA",99,96,4558.8149518352,4215.99951398843,4901.63038968196,4118.81610085054,4998.81380281985,FALSE,FALSE,3
"O1","ARIMA",100,96,4550.70502430999,4159.83986237947,4941.5701862405,4049.03502012473,5052.37502849525,FALSE,FALSE,4
"O1","ARIMA",101,96,4544.68064495417,4098.46094562202,4990.90034428633,3971.9638611767,5117.39742873164,FALSE,FALSE,5
"O1","ARIMA",102,96,4555.452649202,4067.1952535375,5043.71004486651,3928.78106630447,5182.12423209954,FALSE,FALSE,6
"O1","ARIMA",103,96,4547.13522244272,4018.82011453272,5075.45033035273,3869.05012248833,5225.22032239712,FALSE,FALSE,7
"O1","ARIMA",104,96,4550.29416047411,3982.85826642932,5117.73005451891,3821.99807510716,5278.59024584107,FALSE,FALSE,8
"O2","ARIMA",97,96,7059.1,5980.89617165391,8137.30382834609,5675.2403681838,8442.9596318162,FALSE,FALSE,1
"O2","ARIMA",98,96,7059.1,5534.28952295036,8583.91047704964,5102.02694026489,9016.17305973511,FALSE,FALSE,2
"O2","ARIMA",99,96,7059.1,5191.5961883893,8926.6038116107,4662.18480715078,9456.01519284923,FALSE,FALSE,3
"O2","ARIMA",100,96,7059.1,4902.69234330782,9215.50765669219,4291.38073636759,9826.81926363241,FALSE,FALSE,4
"O2","ARIMA",101,96,7059.1,4648.16294621762,9470.03705378238,3964.69579194114,10153.5042080589,FALSE,FALSE,5
"O2","ARIMA",102,96,7059.1,4418.05078183669,9700.14921816331,3669.3500264145,10448.8499735855,FALSE,FALSE,6
"O2","ARIMA",103,96,7059.1,4206.44080755847,9911.75919244153,3397.75156479292,10720.4484352071,FALSE,FALSE,7
"O2","ARIMA",104,96,7059.1,4009.47904590073,10108.7209540993,3144.95388052977,10973.2461194702,FALSE,FALSE,8
"O3","ARIMA",97,96,6633.04842750548,3650.66594493935,9615.43091007161,2805.20195195552,10460.8949030554,FALSE,FALSE,1
"O3","ARIMA",98,96,5723.91368295129,2217.8737074302,9229.95365847238,1223.96009152321,10223.8672743794,FALSE,FALSE,2
"O3","ARIMA",99,96,5162.0148419487,1475.52177088016,8848.50791301725,430.452209818684,9893.57747407873,FALSE,FALSE,3
"O3","ARIMA",100,96,4814.72824949219,1061.59215745247,8567.86434153191,-2.36977403573292,9631.82627302011,FALSE,FALSE,4
"O3","ARIMA",101,96,4600.08467221614,821.801423015979,8378.3679214163,-249.289378102236,9449.45872253452,FALSE,FALSE,5
"O3","ARIMA",102,96,4467.42229403456,679.576978105587,8255.26760996354,-394.224536063344,9329.06912413247,FALSE,FALSE,6
"O3","ARIMA",103,96,4385.42912746449,593.937497797261,8176.92075713171,-480.897695650177,9251.75595057915,FALSE,FALSE,7
"O3","ARIMA",104,96,4334.7525192479,541.86893456804,8127.63610392776,-533.360858783976,9202.86589727977,FALSE,FALSE,8
"O4","ARIMA",97,96,9909.34908954744,8297.54644185213,11521.1517372427,7840.62278756287,11978.075391532,FALSE,FALSE,1
"O4","ARIMA",98,96,9909.34908954744,8037.76816016875,11780.9300189261,7507.2009726954,12311.4972063995,FALSE,FALSE,2
"O4","ARIMA",99,96,9909.34908954744,7809.89140354603,12008.8067755488,7214.72432196498,12603.9738571299,FALSE,FALSE,3
"O4","ARIMA",100,96,9909.34908954744,7604.43477977218,12214.2633993227,6951.02360021368,12867.6745788812,FALSE,FALSE,4
"O4","ARIMA",101,96,9909.34908954744,7415.85006698835,12402.8481121065,6708.97774177936,13109.7204373155,FALSE,FALSE,5
"O4","ARIMA",102,96,9909.34908954744,7240.55820684428,12578.1399722506,6483.99307500123,13334.7051040936,FALSE,FALSE,6
"O4","ARIMA",103,96,9909.34908954744,7076.09086345934,12742.6073156355,6272.90152507454,13545.7966540203,FALSE,FALSE,7
"O4","ARIMA",104,96,9909.34908954744,6920.66048485938,12898.0376942355,6073.40879387886,13745.289385216,FALSE,FALSE,8
"O5","ARIMA",97,96,5302.3740632559,5250.62975254305,5354.11837396876,5235.96095945389,5368.78716705792,FALSE,FALSE,1
"O5","ARIMA",98,96,5296.27782126891,5224.79419420814,5367.76144832968,5204.52957921625,5388.02606332157,FALSE,FALSE,2
"O5","ARIMA",99,96,5290.46723122544,5204.91180301073,5376.02265944014,5180.6580279223,5400.27643452858,FALSE,FALSE,3
