"engine_id","method_id","value","forecast","horizon","lo80","hi80","lo90","hi90","lo95","hi95","lo99","hi99"
1,"LM",69,84.979078725897,1,27.0030782454942,142.9550792063,10.567687697861,159.390469753933,-3.68756252702715,173.645719978821,-31.5486404506042,201.506797902398
2,"LM",82,102.022632242444,1,44.0466317620412,159.998632722847,27.6112412144081,176.43402327048,13.3559909895199,190.689273495368,-14.5050869340572,218.550351418945
3,"LM",91,113.250742309205,1,55.2747418288021,171.226742789608,38.839351281169,187.662133337241,24.5841010562808,201.917383562129,-3.27697686729624,229.778461485706
4,"LM",93,113.877250558473,1,55.9012500780701,171.853251038876,39.465859530437,188.288641586509,25.2106093055488,202.543891811397,-2.65046861802824,230.404969734974
5,"LM",91,103.180913375692,1,45.2049128952892,161.156913856095,28.769522347656,177.592304403728,14.5142721227678,191.847554628616,-13.3468058008092,219.708632552193
6,"LM",95,74.5672414882388,1,16.591241007836,132.543241968642,0.155850460202856,148.978632516275,-14.0993997646853,163.233882741163,-41.9604776882624,191.09496066474
7,"LM",111,131.765187407201,1,73.7891869267982,189.741187887604,57.3537963791651,206.176578435237,43.0985461542769,220.431828660125,15.2374682306998,248.292906583702
8,"LM",96,80.5308835763775,1,22.5548830959747,138.50688405678,6.11949254834155,154.942274604413,-8.13575767654665,169.197524829302,-35.9968356001237,197.058602752879
9,"LM",97,108.999441540231,1,51.0234410598282,166.975442020634,34.5880505121951,183.410832568267,20.3328002873069,197.666082793155,-7.52827763627023,225.527160716732
10,"LM",124,70.9142228615754,1,12.9382223811726,128.890223341978,-3.49716816646055,145.325613889611,-17.7524183913488,159.5808641145,-45.6134963149258,187.441942038077
11,"LM",95,69.325351662178,1,11.3493511817751,127.301352142581,-5.08603936585796,143.736742690214,-19.3412895907462,157.991992915102,-47.2023675143232,185.853070838679
12,"LM",83,152.064238390606,1,94.0882379102031,210.040238871009,77.65284736257,226.475629418642,63.3975971376818,240.73087964353,35.5365192141048,268.591957567107
13,"LM",84,125.32579944359,1,67.3497989631872,183.301799923993,50.914408415554,199.737190471626,36.6591581906658,213.992440696514,8.79808026708876,241.853518620091
14,"LM",50,73.3427186226214,1,15.3667181422186,131.318719103024,-1.06867240541455,147.754109650657,-15.3239226303027,162.009359875546,-43.1850005538798,189.870437799123
15,"LM",28,79.4233089331792,1,21.4473084527764,137.399309413582,5.01191790514325,153.834699961215,-9.24333231974495,168.089950186103,-37.104410243322,195.95102810968
16,"LM",87,107.300060380854,1,49.3240599004512,165.276060861257,32.8886693528181,181.71145140889,18.6334191279299,195.966701633778,-9.22765879564723,223.827779557355
17,"LM",16,23.6380338244257,1,-34.3379666559771,81.6140343048286,-50.7733572036102,98.0494248524617,-65.0286074284984,112.30467507735,-92.8896853520755,140.165753000927
18,"LM",57,102.476977040905,1,44.5009765605022,160.452977521308,28.065586012869,176.888368068941,13.8103357879808,191.143618293829,-14.0507421355962,219.004696217406
19,"LM",113,129.119199264843,1,71.1431987844401,187.095199745246,54.707808236807,203.530590292879,40.4525580119188,217.785840517767,12.5914800883418,245.646918441344
20,"LM",20,36.6892798330579,1,-21.2867206473449,94.6652803134608,-37.722111194978,111.100670861094,-51.9773614198662,125.355921085982,-79.8384393434433,153.216999009559
21,"LM",119,146.384625988017,1,88.4086255076142,204.36062646842,71.9732349599811,220.796017016053,57.7179847350929,235.051267240941,29.8569068115158,262.912345164518
22,"LM",66,107.221786014371,1,49.2457855339682,165.197786494774,32.8103949863351,181.633177042407,18.5551447614469,195.888427267295,-9.30593316213023,223.749505190872
23,"LM",97,88.3984753551522,1,30.4224748747494,146.374475835555,13.9870843271162,162.809866383188,-0.268165897771951,177.065116608076,-28.129243821349,204.926194531653
24,"LM",90,93.7378350958111,1,35.7618346154083,151.713835576214,19.3264440677752,168.149226123847,5.07119384288696,182.404476348735,-22.7898840806901,210.265554272312
25,"LM",115,87.4650019889582,1,29.4890015085554,145.441002469361,13.0536109609223,161.876393016994,-1.20163926396594,176.131643241882,-29.062717187543,203.992721165459
26,"LM",8,13.5966846837316,1,-44.3793157966712,71.5726851641344,-60.8147063443043,88.0080757117675,-75.0699565691926,102.263325936656,-102.93103449277,130.124403860233
27,"LM",48,94.9452478491131,1,36.9692473687103,152.921248329516,20.5338568210772,169.356638877149,6.27860659618895,183.611889102037,-21.5824713273881,211.472967025614
28,"LM",7,3.55990991307456,1,-54.4160905673283,61.5359103934774,-70.8514811149614,77.9713009411105,-85.1067313398496,92.2265511659987,-112.967809263427,120.087629089576
29,"LM",11,2.37088315076044,1,-55.6051173296424,60.3468836311633,-72.0405078772755,76.7822741787964,-86.2957581021637,91.0375244036846,-114.156836025741,118.898602327262
30,"LM",19,54.9921216067597,1,-2.98387887364314,112.968122087163,-19.4192694212762,129.403512634796,-33.6745196461644,143.658762859684,-61.5355975697415,171.519840783261
31,"LM",21,82.6365780151836,1,24.6605775347808,140.612578495586,8.22518698714765,157.04796904322,-6.03006323774055,171.303219268108,-33.8911411613176,199.164297191685
32,"LM",50,76.2525320824023,1,18.2765316019995,134.228532562805,1.84114105436635,150.663923110438,-12.4141091705219,164.919173335326,-40.2751870940989,192.780251258904
33,"LM",28,53.7461607237291,1,-4.22983975667375,111.722161204132,-20.6652303043069,128.157551751765,-34.9204805291951,142.412801976653,-62.7815584527721,170.27387990023
34,"LM",18,88.8177566743558,1,30.841756193953,146.793757154759,14.4063656463199,163.229147702392,0.151115421431655,177.48439792728,-27.7099625021454,205.345475850857
35,"LM",10,41.4171386534094,1,-16.5588618269934,99.3931391338122,-32.9942523746265,115.828529681445,-47.2495025995147,130.083779906334,-75.1105805230918,157.944857829911
