"series_id","method_id","timestamp","origin_timestamp","forecast","lo80","hi80","lo90","hi90","horizon"
"Q1","ARIMA","1993-Q1","1992-Q4",5511.55,5157.46459356261,5865.63540643739,5057.08630092783,5966.01369907217,1
"Q1","ARIMA","1993-Q2","1992-Q4",5511.55,5010.79761597785,6012.30238402215,4868.8412731659,6154.2587268341,2
"Q1","ARIMA","1993-Q3","1992-Q4",5511.55,4898.25608583176,6124.84391416824,4724.39578301131,6298.70421698869,3
"Q1","ARIMA","1993-Q4","1992-Q4",5511.55,4803.37918712522,6219.72081287478,4602.62260185567,6420.47739814433,4
"Q1","ARIMA","1994-Q1","1992-Q4",5511.55,4719.79096136536,6303.30903863464,4495.33827556863,6527.76172443137,5
"Q1","ARIMA","1994-Q2","1992-Q4",5511.55,4644.2214288624,6378.8785711376,4398.34583065543,6624.75416934457,6
"Q1","ARIMA","1994-Q3","1992-Q4",5511.55,4574.72807168944,6448.37192831056,4309.15207234855,6713.94792765145,7
"Q1","ARIMA","1994-Q4","1992-Q4",5511.55,4510.04523195571,6513.05476804429,4226.13254633179,6796.96745366821,8
"Q2","ARIMA","1993-Q1","1992-Q4",3712.9183115853,3630.01894710916,3795.81767606144,3606.51812918405,3819.31849398654,1
"Q2","ARIMA","1993-Q2","1992-Q4",3766.69583418496,3666.51378910225,3866.87787926768,3638.11357137161,3895.27809699832,2
"Q2","ARIMA","1993-Q3","1992-Q4",3830.0337834108,3710.71194751631,3949.35561930528,3676.88586504191,3983.18170177968,3
"Q2","ARIMA","1993-Q4","1992-Q4",3890.29845313088,3755.80101472844,4024.79589153332,3717.67285981118,4062.92404645059,4
"Q2","ARIMA","1994-Q1","1992-Q4",3951.55105438266,3803.05161264693,4100.05049611839,3760.95408434542,4142.1480244199,5
"Q2","ARIMA","1994-Q2","1992-Q4",4012.48607673884,3851.30647806088,4173.66567541679,3805.61430145966,4219.35785201801,6
"Q2","ARIMA","1994-Q3","1992-Q4",4073.52318750063,3900.55754193043,4246.48883307083,3851.52418480483,4295.52219019644,7
"Q2","ARIMA","1994-Q4","1992-Q4",4134.52748108627,3950.53923078377,4318.51573138877,3898.38111837794,4370.6738437946,8
"Q3","ARIMA","1993-Q1","1992-Q4",5546.99298722598,5372.35908718141,5721.62688727054,5322.85280309307,5771.13317135888,1
"Q3","ARIMA","1993-Q2","1992-Q4",5710.33597445196,5446.82030152116,5973.85164738275,5372.11726985025,6048.55467905366,2
"Q3","ARIMA","1993-Q3","1992-Q4",5873.67896167794,5530.36910154561,6216.98882181026,5433.04552655986,6314.31239679601,3
"Q3","ARIMA","1993-Q4","1992-Q4",6037.02194890391,5616.55604403839,6457.48785376944,5497.35980247004,6576.68409533779,4
"Q3","ARIMA","1994-Q1","1992-Q4",6200.36493612989,5703.11108877527,6697.61878348452,5562.14653249566,6838.58333976412,5
"Q3","ARIMA","1994-Q2","1992-Q4",6363.70792335587,5788.98866816622,6938.42717854552,5626.06374516331,7101.35210154843,6
"Q3","ARIMA","1994-Q3","1992-Q4",6527.05091058185,5873.64046879003,7180.46135237366,5688.40768781578,7365.69413334792,7
"Q3","ARIMA","1994-Q4","1992-Q4",6690.39389780783,5956.75811232748,7424.02968328817,5748.78256116533,7632.00523445032,8
